registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY
2277,Afghanistan,,7/9/2003,7/11/2003,3,9,0,,Heavy Rain,,,large,1443.81,3.6366313,68.1237,34.9054
2276,Burma/Myanmar,,7/2/2003,9/1/2003,62,0,0,,Monsoon,,,large,235095.9,7.163636745,95.5035,20.5747
2275,Nepal,,7/3/2003,8/20/2003,49,217,4000,,Monsoon,,,large,137086.59,6.827191054,84.053,28.593
2274,Mexico,,7/3/2003,7/4/2003,2,0,0,1000000,Heavy Rain,,,large,1021.37,3.310213093,-99.1635,18.9389
2273,United States,,7/5/2003,7/21/2003,17,3,1200,106000000,Heavy Rain,,,extreme,150549.91,6.709159417,-85.9761,39.7887
2272,Afghanistan,,7/5/2003,7/6/2003,2,2,280,,Heavy Rain,,,large,1496.24,3.476031257,69.1603,34.2175
2271,Afghanistan,,7/2/2003,7/5/2003,4,0,0,,Heavy Rain,,,large,4099.76,4.214818425,69.4291,36.9277
2270,Uganda,,7/1/2003,7/3/2003,3,20,700,,Heavy Rain,,,large,962.615,3.46057388,34.1376,0.93959
2269,China,,7/1/2003,8/7/2003,38,18,1600000,400000000,Heavy Rain,,,extreme,126534.39,6.983022168,115.718,32.5166
2268,Uruguay,,6/28/2003,7/2/2003,5,1,300,,Heavy Rain,,,large,6903.15,4.538017315,-56.0038,-34.433
2267,New Zealand,,6/28/2003,6/30/2003,3,0,0,,Heavy Rain,,,large,1766.2,3.724161135,172.993,-41.3947
2266,Iran,,6/26/2003,6/26/2003,1,0,0,,Heavy Rain,,,large,1088.54,3.036844392,50.7762,36.6816
2265,Afghanistan,,6/25/2003,6/26/2003,2,0,0,,Heavy Rain,,,large,2785.01,3.745856755,70.9404,38.1986
2264,Philippines,,6/25/2003,6/26/2003,2,2,10000,,Heavy Rain,,,large,1183.34,3.374139541,124.377,7.04391
2263,Guatemala,,6/25/2003,6/30/2003,6,3,40,,Heavy Rain,,,large,152.296,2.960839747,-90.4913,14.6208
2262,United States,,6/23/2003,6/26/2003,4,1,0,15,Heavy Rain,,,large,41056.59,5.215442867,-97.0958,40.7146
2261,China,,6/23/2003,7/28/2003,36,430,1500000,725000000,Heavy Rain,,,large,1540349.44,7.743921756,118.401,28.831
2260,India,,6/20/2003,6/26/2003,7,4,0,,Monsoon,,,large,37685.27,5.421269671,73.44,21.3961
2259,United States,,6/22/2003,6/28/2003,7,0,250,11300000,Heavy Rain,,,large,18773.56,5.118644675,-81.8936,27.2672
2258,India,,6/21/2003,6/24/2003,4,4,0,,Monsoon,,,large,766.522,3.486584615,74.9274,12.9158
2257,Bangladesh,,6/19/2003,7/3/2003,15,55,20000,,Monsoon,,,large,4231,4.802534284,91.9327,21.9239
2256,Afghanistan,,6/16/2003,6/21/2003,6,13,100,,Heavy Rain,,,large,2647.5,4.200987219,70.6147,37.8703
2255,East Timor,,6/16/2003,6/20/2003,5,2,600,,Monsoon,,,large,12934.64,4.81072435,125.657,-9.01219
2254,Philippines,,6/15/2003,6/18/2003,4,11,70000,,Hurricane/Tropical Storm,,,large,22834.67,4.960654731,125.009,11.7927
2253,United States,,6/13/2003,6/19/2003,7,7,1500,,Heavy Rain,,,large,60614.8,5.627676717,-82.3633,38.3574
2252,Colombia,,6/14/2003,6/16/2003,3,2,0,,Heavy Rain,,,large,1700.85,3.707787269,-75.5748,6.21566
2251,Colombia,,6/14/2003,6/16/2003,3,3,4000,,Heavy Rain,,,large,3350.82,4.002272354,-75.5816,1.61614
2250,Nigeria,,5/28/2003,5/29/2003,2,1,800,,Heavy Rain,,,large,785.174,3.195995906,8.43421,11.81
2249,Mexico,,6/12/2003,6/15/2003,4,0,800,,Heavy Rain,,,large,67.7191,2.432771169,-98.1744,19.0724
2248,Bangladesh,India,6/11/2003,10/10/2003,122,600,9500000,,Monsoon,,,extreme,702361.66,8.233950623,90.8538,26.1706
2247,Nigeria,,6/7/2003,6/8/2003,2,0,2000,,Heavy Rain,,,large,5709.91,4.057659259,9.78959,12.4276
2246,Tajikistan,,6/6/2003,6/10/2003,5,3,2500,,Heavy Rain,,,large,1700.7,3.929597716,67.7915,39.4652
2245,China,,6/1/2003,6/14/2003,14,0,0,,Dam Failure,,,large,9132.34,5.106710108,110.741,30.9182
2244,Azerbaijan,,6/5/2003,6/14/2003,10,1,0,,Heavy Rain,,,large,2427.5,4.385159239,47.1515,41.2757
2243,Mexico,,6/5/2003,6/6/2003,2,4,3000,,Heavy Rain,,,large,1202.55,3.381133138,-97.089,18.8378
2242,China,,6/5/2003,6/7/2003,3,28,0,,Heavy Rain,,,large,44616.58,5.126617532,82.5109,43.7754
2241,Russia,,6/1/2003,6/4/2003,4,0,0,,Heavy Rain,,,large,5085.41,4.308385964,90.8345,53.3172
2240,Venezuela,,6/1/2003,6/3/2003,3,1,450,,Heavy Rain,,,large,6238.6,4.272208396,-71.4704,8.3491
2239,Moldova,,5/29/2003,5/31/2003,3,3,0,,Heavy Rain,,,large,3901.12,4.068310564,28.6068,47.3811
2238,Russia,,5/27/2003,6/20/2003,25,0,400,,Snow/Ice Melt,,,large,62479.95,6.193680682,128.13,62.8787
2237,United States,,5/25/2003,5/30/2003,6,1,0,,Heavy Rain,,,large,17832.44,5.029362022,-78.4955,37.2228
2236,Afghanistan,,5/26/2003,6/6/2003,12,0,400,,Heavy Rain,,,large,10284.86,5.09137963,68.9147,36.4378
2235,Philippines,,5/26/2003,5/30/2003,5,41,8357,1000000,Heavy Rain,,,extreme,17427.04,5.241223628,120.74,15.5956
2234,Iran,,5/22/2003,5/23/2003,2,2,0,,Heavy Rain,,,large,2074.7,3.617985303,47.6991,38.5134
2233,American Samoa,,5/18/2003,5/19/2003,2,4,0,50000000,Heavy Rain,,,large,174.444,2.542686032,-170.682,-14.3155
2232,Sri Lanka,,5/17/2003,5/26/2003,10,266,300000,,Heavy Rain,,,extreme,13488.03,5.430978519,80.7878,6.61932
2231,China,,5/15/2003,5/21/2003,7,83,18000,135000000,Heavy Rain,,,large,317905.6,6.347396218,114.939,26.5695
2230,Madagascar,,5/8/2003,5/12/2003,5,68,47000,,Heavy Rain,,,large,6123.73,4.485986038,48.7801,-19.1732
2229,United States,,5/14/2003,5/17/2003,4,0,1752,95000000,Dam Failure,,,large,856.765,3.534921708,-87.7071,46.6398
2228,Australia,,5/13/2003,5/18/2003,6,0,300,,Heavy Rain,,,large,5265.43,4.499585094,151.153,-33.7036
2227,Iran,,5/9/2003,5/10/2003,2,0,0,,Heavy Rain,,,large,359.582,2.856827939,54.1224,36.9249
2226,Somalia,,5/6/2003,5/8/2003,3,0,0,,Heavy Rain,,,large,33795,5.005973705,42.4167,1.50529
2225,United States,,5/6/2003,5/14/2003,9,3,2000,17000000,Heavy Rain,,,extreme,313672.72,6.751749255,-85.4845,35.2142
2224,Ethiopia,Somalia,5/4/2003,5/20/2003,17,106,111000,,Heavy Rain,,,large,52987.31,5.954620794,44.6354,5.37112
2223,United States,,5/5/2003,5/6/2003,2,0,200,,Heavy Rain,,,large,4845.05,3.986328259,-83.023,38.2891
2222,Indonesia,,5/3/2003,5/6/2003,4,0,2000,,Heavy Rain,,,large,13874.73,4.744284532,103.544,-1.50383
2221,Russia,,5/1/2003,5/16/2003,16,0,1600,,Snow/Ice Melt,,,large,345303.79,6.742321328,42.3946,63.5313
2220,Papua New Guinea,,4/14/2003,5/4/2003,21,0,0,,Heavy Rain,,,large,24063.21,5.703572856,143.696,-4.40215
2219,United States,,4/29/2003,5/4/2003,6,0,0,,Snow/Ice Melt,,,large,6718.98,4.605454599,-148.177,64.9771
2218,Comoros Islands,,4/25/2003,4/27/2003,3,0,300,,Heavy Rain,,,large,210.128,2.799605182,43.741,-12.3152
2217,Australia,,4/12/2003,4/16/2003,5,0,0,,Heavy Rain,,,large,8766.21,4.641781875,147.01,-41.737
2216,Argentina,,4/28/2003,5/10/2003,13,24,161500,1500000000,Heavy Rain,,,extreme,280039.63,6.862192843,-60.4971,-31.5791
2215,Afghanistan,,4/23/2003,4/24/2003,2,0,2000,,Heavy Rain,,,large,1449.13,3.462137343,68.8736,33.9512
